Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Perplexity,https://www.crunchbase.com/organization/perplexity-ai,"Artificial Intelligence (AI), Chatbot, Generative AI, Machine Learning, Natural Language Processing, Search Engine","San Francisco, California, United States",2022-01-01,year,1275000000,USD,1275000000,"Perplexity is an AI-powered answer engine designed to provide accurate, real-time responses to user queries.",6,,6,8,2025-07-18,100000000,USD,100000000,1275000000,USD,1275000000,"Accel, Bessemer Venture Partners, NVIDIA, IVP, New Enterprise Associates",6,44,4,"Andy Konwinski, Aravind Srinivas, Denis Yarats, Johnny Ho",101-250,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.perplexity.ai,https://x.com/perplexity_ai,https://www.facebook.com/perplexityofficial,https://www.linkedin.com/company/perplexity-ai,Perplexity is a answer engine that utilizes artificial intelligence (AI) to integrate large language models and search engines. The platform utilizes natural language processing (NLP) and generative AI technologies to provide conversational responses to user queries. The platform is designed to bridge the gap between traditional search engines and AI-driven interactive assistance.
PlayAI,https://www.crunchbase.com/organization/play-ht,"Artificial Intelligence (AI), Audio, Generative AI, Machine Learning","Palo Alto, California, United States",2022-06-27,day,23650000,USD,23650000,PlayAI is a startup that uses AI to generate human-sounding voices for natural and emotive conversations.,14,,13,2,2024-11-25,21000000,USD,21000000,23650000,USD,23650000,"Y Combinator, 500 Global, Pioneer Fund, Race Capital, Kindred Ventures",3,10,2,"Hammad Syed, Mahmoud Felfel",11-50,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",,,Active,For Profit,https://play.ai,https://twitter.com/play_ht,,https://www.linkedin.com/company/play-ai,"PlayAI specializes in creating advanced AI voice models designed for fluid and emotive conversations. The platform enables businesses and developers to build engaging conversational AI experiences that enhance user interaction.  By focusing on natural language processing and intuitive sequences, PlayAI aims to make human-AI interactions more accessible and effective for various applications."
ElevenLabs,https://www.crunchbase.com/organization/elevenlabs,"Artificial Intelligence (AI), Content Creators, Developer APIs, Generative AI","New York, New York, United States",2022-04-17,day,281000000,USD,281000000,ElevenLabs develops AI audio models for speech and sound generation.,39,,34,5,2025-01-30,180000000,USD,180000000,281000000,USD,281000000,"Andreessen Horowitz, Sequoia Capital, Valor Equity Partners, Endeavor Catalyst, New Enterprise Associates",6,39,2,"Mati Staniszewski, Piotr Dabkowski",101-250,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",,,Active,For Profit,http://elevenlabs.io,https://www.twitter.com/elevenlabsio,https://www.facebook.com/elevenlabsio,https://www.linkedin.com/company/elevenlabsio,"ElevenLabs is an AI audio research and deployment company that creates models for realistic speech and sound effects. The technology supports various applications, including voicing audiobooks, animating video game characters, and automating localization in entertainment."
Anysphere,https://www.crunchbase.com/organization/anysphere,"Artificial Intelligence (AI), Developer Tools, Generative AI, Machine Learning, Software Engineering","San Francisco, California, United States",2022-01-01,year,1073400000,USD,1073400000,Anysphere is an applied research lab focused on automating coding through innovative AI solutions.,48,,40,5,2025-06-05,900000000,USD,900000000,1073400000,USD,1073400000,"OpenAI, Andreessen Horowitz, Accel, Thrive Capital, Benchmark",3,13,4,"Aman Sanger, Arvid Lunnemark, Michael Truell, Sualeh Asif",51-100,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://anysphere.inc,https://x.com/anysphere,,https://www.linkedin.com/company/anysphereinc,"Anysphere is an applied research lab focused on automating coding processes. The company develops software and models to create a human-AI programmer, aiming for a significant increase in programming effectiveness. This hybrid approach allows for faster iteration and control over complex codebases."
Harvey,https://www.crunchbase.com/organization/harvey-128b,"Artificial Intelligence (AI), Information Technology, Legal, Legal Tech","San Francisco, California, United States",2022-01-01,month,806000000,USD,806000000,"Harvey provides AI-driven tools to assist legal professionals with research, document review, and contract analysis.",59,,50,6,2025-06-23,300000000,USD,300000000,806000000,USD,806000000,"OpenAI, Sequoia Capital, Kleiner Perkins, Conviction Partners, Coatue",5,14,2,"Gabe Pereyra, Winston Weinberg",51-100,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://harvey.ai,https://x.com/harvey__ai,,https://www.linkedin.com/company/harvey-ai,"Harvey offers AI-powered solutions designed to streamline legal work for law firms and corporate legal teams. Its tools assist with tasks like document review, contract analysis, legal research, and due diligence, helping professionals save time and improve accuracy. The platform uses natural language processing to interpret complex legal language and generate relevant insights. Harvey’s services are tailored to meet the specific needs of clients across various practice areas. ."
Suno,https://www.crunchbase.com/organization/suno-279f,"Artificial Intelligence (AI), Music","Cambridge, Massachusetts, United States",2022-01-01,year,125000000,USD,125000000,Suno is a music start-up that enables anyone to make the songs they want.,64,,54,2,2024-05-20,125000000,USD,125000000,125000000,USD,125000000,"Lightspeed Venture Partners, Founder Collective, Matrix, Daniel Gross, Scott Belsky",2,6,4,"Georg Kucsko, Keenan Freyberg, Martin Camacho, Mikey Shulman",11-50,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Music and Audio, Science and Engineering, Software",,,Active,For Profit,https://www.suno.com,https://x.com/suno_ai_,,https://www.linkedin.com/company/suno-ai,Suno is a music start-up that enables anyone to make the songs they want. The company aims to help people rediscover the joy of play and exploration.
LangChain,https://www.crunchbase.com/organization/langchain,"Artificial Intelligence (AI), Database, Developer APIs, Generative AI","San Francisco, California, United States",2022-10-01,month,135000000,USD,135000000,LangChain builds infrastructure and tools to help developers and enterprises create applications powered by large language models.,90,,74,3,2025-07-09,100000000,USD,100000000,135000000,USD,135000000,"Sequoia Capital, IVP, Benchmark",3,3,2,"Ankush Gola, Harrison Chase",101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.langchain.com,https://twitter.com/LangChainAI,,https://www.linkedin.com/company/langchain,"LangChain is a language model application development library that develops a language model framework to power applications that integrate with other sources of data and interact with their environment. Its platform also offers support for various model types, prompt management, memory, indexing, chains, and agents to help developers create generative artificial intelligence like personal assistants, question-answering bots, chatbots, and data querying."
Levelpath,https://www.crunchbase.com/organization/levelpath,"Artificial Intelligence (AI), Procurement, Productivity Tools, SaaS","San Francisco, California, United States",2022-01-01,year,99500000,USD,99500000,Levelpath is an AI-native procurement platform that streamlines procurement operations through intelligent automation.,172,,145,3,2025-06-30,55000000,USD,55000000,99500000,USD,99500000,"Menlo Ventures, 01 Advisors, Battery Ventures, NewView Capital, Benchmark",3,7,3,"Alex Yakubovich, Bryan Rosenstein, Stan Garber",101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,Active,For Profit,https://www.levelpath.com,,https://www.facebook.com/profile.php?id=61561621267707,https://www.linkedin.com/company/levelpath,"Levelpath is an AI-powered procurement platform that connects workflows, data, people, and devices to enhance productivity and collaboration across businesses and their suppliers. The platform unifies procurement to make enterprise commerce faster and more transparent, reduce risk, drive profitability, and deliver an improved procurement experience at every step. At the core of Levelpath is the Hyperbridge reasoning engine, which extracts and enriches data from hundreds of thousands of sources, consolidating the procurement process into a single view accessible from any device."
Vectara,https://www.crunchbase.com/organization/vectara,"Artificial Intelligence (AI), Developer Platform, Generative AI, Machine Learning, Natural Language Processing","Palo Alto, California, United States",2022-01-01,year,53500000,USD,53500000,Vectara provides a generative AI product platform for embedding generative AI features into applications.,249,,210,2,2024-07-16,25000000,USD,25000000,53500000,USD,53500000,"Alumni Ventures, Vertex Ventures, Race Capital, Fusion Fund, FPV Ventures",3,26,3,"Amin Ahmad, Amr Awadallah, Tallat Shafaat",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://vectara.com,https://twitter.com/vectara,https://www.facebook.com/vectara,https://www.linkedin.com/company/vectara,"Vectara provides a generative AI product platform for embedding generative AI features into applications. The company's product is an end-to-end Serverless Retrieval Augmented Generation API platform for embedding powerful generative AI functionality into applications, chatbots, and products with results grounded in, and never trained on, the data, documents, and knowledge they have. Built on a solid hybrid-search core, Vectara delivers the shortest path to a correct answer-action through a safe, secure, and trusted entry point that allows businesses to quickly, safely, and affordably integrate conversational AI and question-answering into their application with zero-shot precision. Vectara's serverless RAG platform solves critical problems required for enterprise adoption, namely: reduces hallucination, provides explainability, and provenance, enforces access control, allows for real-time updatability of the knowledge, and mitigates intellectual property and bias concerns from large language models."
Alix,https://www.crunchbase.com/organization/alix-9151,"Artificial Intelligence (AI), Financial Services, FinTech, Legal Tech","San Francisco, California, United States",2022-10-19,day,39026903,USD,39026903,"Alix is a wealth transfer platform that helps individuals simplify document management, asset distribution, and legal processes.",259,,220,4,2025-07-21,29626903,USD,29626903,39026903,USD,39026903,"Alumni Ventures, Initialized Capital, American Family Ventures, Acrew Capital, Charles Schwab",5,12,2,"Alexandra Mysoor, Hugh Tamassia",11-50,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",,,Active,For Profit,http://www.meetalix.com,,,https://www.linkedin.com/company/meetalix,"Alix is an online estate-settlement platform that helps individuals manage post-funeral administrative and legal tasks. It provides an AI-powered interface alongside a team of experts, such as attorneys, fiduciaries, CPAs, and coordinates with outside professionals. Alix organizes documents, notifies agencies, handles account closure, facilitates asset transfer, addresses debts, and guides users through probate and tax-related steps. It maintains a progress-tracking app with customizable family access and offers a consultation to clarify obligations. The service complements existing legal counsel rather than replacing it and supports families through the entire estate-winding process."
