Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Skydio,"Skydio is a drone manufacturer that uses artificial intelligence to create flying drones that are used by consumers, enterprises, and government customers. It develops AI-powered drones to deliver the power and flying cameras without the complexity. The company's drones use an array of cameras and proprietary computer vision technology to recognize, avoid objects in real-time, and predict into the future to make intelligent decisions, enabling users by flying themselves through the most demanding tasks or keeping them safe from obstacles when they want to take control. The company's debut drone, the R1, could track a target and film them while avoiding obstacles without any human intervention required. Then the company released the Skydio 2 in 2019, its second drone, cutting off more than half the price while improving it its autonomous tracking and video capabilities. Its flagship product, the X2, is equipped with seven cameras, 100x zoom, night vision, and promises to turn ordinary users into expert pilots thanks to its self-piloting abilities. It is backed by top investors and strategic partners including Andreessen Horowitz, Linse Capital, Next47, IVP, Playground, NVIDIA, and UP.Partners.",2014,740000000.0,9,2024-11-15,170000000.0,San Mateo,California,United States,Andreessen Horowitz|Accel|NVIDIA|IVP|Playground Global,Abraham Bachrach|Adam Bry|Matt Donahoe,750,"""Autonomous AI-Driven Drone Technology Solutions""",https://www.skydio.com/,https://www.linkedin.com/company/skydio,0.1,20.0,3.0,10,growth,0.85,3.5,3.0,0.5,3.5
Insilico Medicine,"Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases. It pioneered the applications of the generative adversarial networks (GANs), reinforcement learning, transfer learning, and meta-learning for the generation of novel molecular structures for the diseases with known and unknown targets, and, unlike the other companies in the field, is developing the end-to-end pipeline covering every step of drug discovery, clinical trials analysis, and digital medicine. Insilico Medicine is pursuing internal drug discovery programs in cancer, dermatological diseases, fibrosis, Parkinson's Disease, Alzheimer's Disease, ALS, diabetes, sarcopenia, and aging. Through a partnership with Life Extension, the company launched a range of nutraceutical products, which were compounded using advanced bioinformatics techniques and deep learning approaches. It also provides a range of consumer-facing applications including Young.AI.",2014,624300000.0,13,2025-03-13,123000000.0,Cambridge,Massachusetts,United States,HSG|B Capital|Qiming Venture Partners|Eli Lilly|Warburg Pincus,Alex Zhavoronkov,375,"""AI-Driven Drug Discovery and Development Solutions""",http://www.insilico.com/,https://www.linkedin.com/company/in-silico-medicine-inc,0.2,30.0,2.5,10,unknown,0.85,3.0,2.5,0.1,2.5
Arrive AI,"Arrive AI is a smart Mailbox-as-a-Service infrastructure and platform for autonomous delivery networks. Arrive specializes in safe cross-docking technology, enabling the smooth movement of goods and supplies between people, robots, and drones. Arrive offers clients in the medical operations, healthcare, and large retail industries solutions. Arrive assists companies in optimizing their delivery networks and launching autonomous delivery networks (ADNs). Its solutions allow for the safe and smooth transfer of packages and goods between people, robots, and drones at many points within a network. Today, fortune 500 logistics and eCommerce companies are actively testing drone delivery as developments are accelerating in the marketplace from DOT’s 2017 drone pilot programs as well as the FAA issuance in 2019 and 2020 of Part 135 authorities to Google, UPS, and most recently Amazon.",2014,49658719.0,9,2025-05-22,40000000.0,Indianapolis,Indiana,United States,Streeterville Capital|Indiana Economic Development Corporation|Meyer Global,Dan O’Toole,30,"""Autonomous Delivery Network Infrastructure Solutions""",https://www.arriveai.com/,https://www.linkedin.com/company/dronedek,0.1,20.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Ocrolus,"Ocrolus is an AI-powered data and analytics platform that enables financial institutions to make faster, more accurate decisions. We automate underwriting workflows across small business, mortgage, and consumer lending, delivering a best-in-class solution for analyzing financial documents. Our platform classifies documents, extracts key data, detects fraud, and delivers comprehensive cash flow and income analysis—all with exceptional precision and reliability. With Ocrolus, lenders can streamline the borrower experience, scale operations efficiently, and manage risk with greater confidence.",2014,126966386.0,6,2021-09-22,80000000.0,New York,New York,United States,Mubadala|QED Investors|Cross River Bank|Oak HC/FT|Stage 2 Capital,John Guerci|Sam Bobley|Victoria Meakin,750,"""AI-Driven Financial Document Analysis Solutions""",https://www.ocrolus.com/,https://www.linkedin.com/company/ocrolus,0.42,53.65,3.5,10,growth,0.85,4.2,3.8,0.42,3.5
Rokid,"Rokid is a Chinese technology company specializing in artificial intelligence (AI) and robotics. Rokid is known for developing and manufacturing smart devices, including AI-powered smart speakers and smart glasses. One of Rokid's notable products is the Rokid Glass, a pair of augmented reality smart glasses that incorporate AI capabilities for applications such as facial recognition, language translation, and voice control. These glasses are designed to provide users with an enhanced and interactive experience by overlaying digital information onto the physical world.",2014,643886285.0,12,2024-09-30,14248871.0,Redwood City,California,United States,Temasek Holdings|Walden International|Vision Plus Capital|Bilibili|IDG Capital,Eric Wong|Mingming Zhu,175,"""AI-Enhanced Augmented Reality Smart Devices""",http://rokid.ai/,https://www.linkedin.com/company/rokid-inc,1.0,65.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Zoox,"Zoox is a California based robotics company founded by Tim Kentley-Klay and Dr. Jesse Levinson to create autonomous mobility. Operating at the intersection of design, computer science, and electro-mechanical engineering, Zoox is a multidisciplinary team working to imagine and build an advanced mobility experience that will support the future needs of urban mobility for both people and the environment.",2014,1005000000.0,5,2019-10-21,200000000.0,Foster City,California,United States,Lux Capital|Blackbird Ventures|IDG Capital|Employee Stock Option Fund|Threshold,Jesse Levinson|Tim Kentley Klay,3000,"""Autonomous Urban Mobility Robotics Solutions""",https://www.zoox.com/,https://www.linkedin.com/company/zoox-inc/,0.3,20.0,2.5,15,unknown,0.85,3.5,2.8,0.15,2.8
Cyberhaven,"Cyberhaven is the data security company revolutionizing how companies protect their important information from theft and misuse.Security products only recognized and protected a limited range of data types because they relied on finding patterns in the content itself. Data tracing technology analyzes billions of events surrounding every piece of data to better understand and classify it, allowing for the protection of a broader range of sensitive data in any form, anywhere it goes.",2014,236500000.0,5,2025-04-02,100000000.0,Palo Alto,California,United States,Khosla Ventures|StepStone Group|Adams Street Partners|Vertex Ventures|Forgepoint Capital,Cristian Zamfir|George Candea|Radu Banabic|Vitaly Chipounov|Volodymyr Kuznetsov,175,"""AI-Driven Data Security and Classification Solutions""",https://www.cyberhaven.com/,https://www.linkedin.com/company/cyberhaven,0.0,0.0,0.0,0,unknown,0.35,4.0,3.5,0.0,0.0
Crayon,"Crayon is the competitive intelligence backbone that enables mid-market and enterprise businesses to see and seize opportunities and create sustainable advantages in their markets. Hundreds of organizations use Crayon to capture sharp insights that can be easily accessed and acted on to drive broad, measurable and meaningful impact. Crayon was founded in 2014 and is headquartered in Boston, Massachusetts.",2014,38100000.0,6,2021-05-04,22000000.0,Boston,Massachusetts,United States,Gaingels|BoxGroup|Founder Collective|Bedrock|Baird Capital,John Osborne|Jonah Lopin,175,"""Competitive Intelligence and Market Insights Software""",http://www.crayon.co/,https://www.linkedin.com/company/crayon-co,0.5,15.0,4.0,10,unknown,0.85,4.2,3.8,0.1,3.5
Avaamo,"Avaamo is a deep-learning software company that specializes in conversational interfaces to solve specific, high impact problems in the enterprise. Avaamo is building fundamental AI technology across a broad area of neural networks, speech synthesis and deep learning to make conversational computing for the enterprise a reality.",2014,30500000.0,6,2022-01-01,,Los Altos,California,United States,Alchemist Accelerator|LIQUiDITY Group|Wipro Ventures|WI Harper Group|Intel Capital,Ram Menon|Sriram Chakravarthy,175,"""Enterprise Conversational AI Solutions for Business Automation""",https://avaamo.ai/,http://www.linkedin.com/company/3721956,0.5,20.0,3.5,10,growth,0.85,4.0,3.5,0.5,3.0
ON,"ON is a software company that offers a conversational AI platform that enhances customer engagement and supports business objectives. The company integrates seamlessly with CRMs, e-commerce systems, and other tools through a low-code approach, enabling businesses to implement generative AI-driven chat experiences efficiently.",2014,81000000.0,10,2023-12-06,25000000.0,San Francisco,California,United States,Mighty Capital|Liquid 2 Ventures|GreatPoint Ventures|Diverse Angels|Quest Venture Partners,Alex Beckman|Kalin Stanojev|Nate Simmons,75,"""Conversational AI Customer Engagement Solutions""",https://www.onplatform.com/,https://www.linkedin.com/company/on-platform/,1.5,30.0,3.5,20,growth,0.85,4.0,3.5,0.5,3.5
