Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,operating status,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Thinking Machines Lab,"Thinking Machines Lab is an artificial intelligence research and product company. It aims to make AI systems more widely understood, customizable, and generally capable. The company focuses on human-AI collaboration and building multimodal systems that adapt to various human expertise.",2025,2009975164.0,2,2025-06-20,2000000000.0,San Francisco,California,United States,Andreessen Horowitz|Accel|NVIDIA|Conviction Partners|Cisco,Lilian Weng|Mira Murati,30,"""Human-Centric AI Collaboration and Multimodal Systems""",https://thinkingmachines.ai/,https://www.linkedin.com/company/thinkingmachinesai,Active,13.6,20.62,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Cluely,"Cluely is an AI tool that offers live, context-aware responses during meetings and sales calls. It can recall information from transcripts and provide product details to sales representatives. The software also assists with individual work by reading screens and responding to prompts.",2025,20300000.0,2,2025-06-20,15000000.0,San Francisco,California,United States,Andreessen Horowitz|Abstract|Susa Ventures|Karman Ventures,Alex Chen|Chungin Lee|Neel Shanmugam,30,"""AI-Driven Meeting Assistance and Sales Optimization Software""",https://cluely.com/,https://www.linkedin.com/company/cluely,Active,3.16,24.8,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Labs,"Labs Companies, Inc. (branded and doing business as Labs) is an American global human-enhancement technology company headquartered in Santa Monica, CA. Established in 2025 through a restructuring of LavLabs Inc., Labs now serves as the parent holding company of LavLabs, itself apart of seven core family of labs: Labs Intelligence, Labs Realities, Labs Blocks, Labs Crypto, LabsX, Factory5227 and several specialized multi-labs. Each lab is dedicated to advancing human capabilities through transformative products, services, platforms, and technologies (PSPTs) in AI, digital economies, immersive realities, consumer internet, wearables and social experiences. The Labs Manifesto: Humanizing every moment on the internet. Our name “Labs” celebrates the field of Chemistry, and our test-tube emblem, Chemí (/kim-me/), reflects our commitment to innovation. At Labs, our mission is to inspire creativity with innovative-ideas that help build communities and advance human capabilities. We believe that every human on the planet could thrive greatly with equal access and opportunity to technology. Through our flagship, franchise, framework and fandom, family of brands, we create transformative human-experiences that connect humanity through creativity, community, and innovation. Our ecosystems and economies spans across a core and specialized family of labs, including Labs Financial Group (managing Labs Payments, Yuhmmy Wallet and financial solutions within the FinTaste ecosystem), Labs Investor Group (managing early-stage, growth-stage, CVC, fund-of-funds, hedge fund, mutual fund, ETF, index fund and pension fund investments through Labs Ventures, Labs Capital, Labs Investments, Labs Funds, Labs Equity and Labs Shares), Labs Realty Group (managing YuhmmyHouse, a Social-Taste Super Club and the Tastespitality Ecosystem), Labs Start Studios (Hatch Studio, Launch Studio, and Lift Studio for entrepreneurial enhancements), Labs Learn Studios (Labs University, Labs Academy, and Labs Institute for educational enhancements), Labs Entertainment (managing Yuhmmyevents and its annual Yuhmmylicious Week and CraveCon), Labs Media (managing the official podcast by Labs: TechTubeTalks, and Yuhmmy: TastefulTalks). Our inaugural family of brand is Yuhmmy, the world’s first Social-Taste Super Brand and ecosystem designed for discovering, experiencing, and sharing anything tasty. Its Yuhmmy App brings people together to explore food, drinks, sweets, snacks, and recreational flavors in fun, funny, and flavorfully engaging ways. Featuring innovative tools like Tastechat, Taste Sports, Taste Drops, Cravecash, YuhmmyAI, and Yuhmmy AR/VR, Yuhmmy empowers a revolutionary “Tasteconomy” driven by Taste Intelligence. Labs is committed to reshaping the future of human-enhancements, seamlessly merging digital and physical worlds to redefine engagement, empowerment, education and earning. Our Labs Foundations supports sustainability, S.T.E.A.M. education, and scholarships for underserved communities through 5227.org and Lifthumankind.org, committing 1% of proceeds and resources via pledge 1%.",2025,30000000.0,5,2025-04-18,22500000.0,Santa Monica,California,United States,Davis&Davis Venture Partners|Jet Investments Group|JET VC-IRA FUND|Elz Ventures|Family of Firms,Duránd F. Davis Jr.|Maya Elz Davis,5,"""Human-Enhancement Technology and Digital Experience Solutions""",https://lavlabs.com/,https://www.linkedin.com/company/labshq,Active,430.5,13.95,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Chaima.AI,Leveraging State-of-the-Art AI Agents to seamlessly plan luxurious dates and experiences!,2025,500000.0,1,2025-05-06,500000.0,San Francisco,California,United States,A16Z GAMES Speedrun,Jason Jiang|Jason Libbey|Keana Alabre,5,"""AI-Driven Personalized Dating Experience Solutions""",https://chaima.ai/about,https://www.linkedin.com/company/chaima-dev/posts/?feedView=all,Active,12.9,7.5,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
LMArena,"LM Arena provides a platform for testing AI models. LM Arena serves as an essential resource for researchers and developers worldwide. As the AI field expands, the importance of reliable benchmarking tools like LM Arena remains undeniable. The company also operates Chatbot Arena, a specialized service for evaluating artificial intelligence systems.",2025,100000000.0,1,2025-05-21,100000000.0,San Francisco,California,United States,Andreessen Horowitz|Lightspeed Venture Partners|Kleiner Perkins|Felicis|The House Fund,Anastasios Angelopoulos,30,"""AI Model Benchmarking and Evaluation Platform""",https://lmarena.ai/,https://www.linkedin.com/company/lmarena,Active,2.5,15.0,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Ciroos,"Ciroos  Built from the ground up with the power of multi-agent AI, it allows operations teams to decrease toil, investigate issues, explain anomalies, and drive autonomous operations across complex multi-domain environments, all while keeping humans in control.",2025,21000000.0,1,2025-06-03,21000000.0,Pleasanton,California,United States,Energy Impact Partners,Amit Patel|Ananda Rajagopal|Ronak Desai,30,"""AI-Driven Operations Management Software""",https://ciroos.ai/,https://www.linkedin.com/company/ciroos,Active,5.3,22.4,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Blank Metal,Blank Metal is an AI-native engineering services company that focuses on designing and integrating production-ready AI solutions for organizations.,2025,3000000.0,1,2025-06-24,3000000.0,Minneapolis,Minnesota,United States,Pure Play Partners|Rally Ventures|Traction Capital,,30,"""AI-Driven Engineering Solutions for Production Integration""",http://www.blankmetal.ai/,,Active,15.7,33.1,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Cedar,"Cedar AI acts as a copilot for any app, engaging users, answering questions, and driving conversions like a founder would.",2025,500000.0,1,2025-03-12,500000.0,San Francisco,California,United States,Y Combinator,Isabelle Ilyia|Jesse Li,5,"""Generative AI User Engagement Solutions for Applications""",https://www.cedar.law/home,https://www.linkedin.com/company/cedarlaw/,Active,3.87,35.4,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Opennote,The AI Tutor That Lives In Your Notes,2025,850000.0,1,2025-04-03,850000.0,San Francisco,California,United States,,Abhi Arya|Rishi Srihari|Vedant Vyas,5,"""AI-Enhanced Educational Note-Taking Solutions""",https://opennote.com/,https://www.linkedin.com/company/opennote/,Active,0.54,18.9,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Avelis Health,Avelis Health uses AI that eliminates medical bills and fights insurance denials.,2025,500000.0,1,2025-06-25,500000.0,San Francisco,California,United States,Y Combinator,,5,"""AI-Driven Medical Billing and Insurance Solutions""",https://avelis.ai/,https://www.linkedin.com/company/avelis-ai,Active,4.5,23.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
