name,description,short_description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,ai_focus,sector,website,linkedin_url,source_url,extraction_date
Genesis AI,"Genesis AI is a startup that aims to build a foundational model for powering all kinds of robots, focusing on automating a wide range of repetitive tasks using synthetic data generated from a proprietary physics engine.",Genesis AI develops AI models for robotics using synthetic data.,2025,105000000.0,seed,Zhou Xian|Théophile Gervet,Eclipse|Khosla Ventures,AI|Robotics,,,,robotics,technology,,,https://techcrunch.com/2025/07/01/genesis-ai-launches-with-105m-seed-funding-from-eclipse-khosla-to-build-ai-models-for-robots/,2025-07-11 11:47:48.668489
Mechanize,"Developer of AI systems designed to perform any task a human can do for economic value. The company's system can do various tasks such as tax filing to copywriting, from data entry to diagnostics, from bookkeeping to basic legal work, building digital training grounds, virtual environments that simulate real-world workflows and allow AI agents to learn by doing, enabling businesses to get AI agents to reduce human workloads and streamline their operations.",AI systems developer for automating various human tasks.,2025,,unknown,,Angel (individual),AI|Business/Productivity Software,San Francisco,CA,USA,general AI applications,Business/Productivity Software,,,https://pitchbook.com/profiles/company/846556-03,2025-07-11 11:47:54.059795
Alta,"Alta is an AI stylist and personal shopper that makes outfit recommendations based on users' budget, lifestyle, weather, and calendar, allowing users to try on looks with their personalized virtual avatar.",Alta is an AI-driven personal styling agent that helps users choose outfits.,,11000000.0,seed,Jenny Wang,Menlo Ventures,AI|Fashion Tech,,,,computer vision,fashion,https://www.altadaily.com/,,https://techcrunch.com/2025/06/16/alta-raises-11m-to-bring-clueless-fashion-tech-to-life-with-all-star-investors/?utm_source=chatgpt.com,2025-07-11 11:47:59.167037
Reflection AI,Reflection AI is building coding agents that can function autonomously.,A startup focused on developing autonomous coding agents.,2025,,,Misha Laskin|Ioannis Antonoglou,,AI|Machine Learning,,,,autonomous coding,technology,,,https://www.bloomberg.com/news/articles/2025-03-07/ex-deepmind-researchers-new-startup-aims-for-superintelligence,2025-07-11 11:48:10.121180
Kai Ai,Ai software Development and Data Processing,Kai Ai specializes in AI software development and data processing.,,200000.0,pre-seed,,,AI,Sacramento,California,United States,NLP,software,https://www.mykai.ai/,,https://www.crunchbase.com/organization/kai-ai-3e9a,2025-07-11 11:48:16.032069
Mach Industries,"Mach Industries is a defense technology company focused on developing advanced weaponry and unmanned aerial vehicles, including a vertical takeoff precision cruise missile and a super-light jet-powered UAV.",Mach Industries develops innovative defense technologies and UAVs.,,,,Ethan Thornton,Sequoia,Defense Tech,Huntington Beach,California,United States,,Defense,,,https://techcrunch.com/2025/03/04/mach-industries-founded-by-21-year-old-ethan-thornton-lands-us-army-contract-builds-weapons-factory/?utm_source=openai,2025-07-11 11:48:20.802502
LGND,"LGND is a startup that aims to enhance the efficiency of analyzing geographic data through machine learning and neural networks, specifically focusing on identifying fire breaks in satellite imagery.",LGND uses AI to improve the efficiency of geographic data analysis.,,9000000.0,seed,Nathaniel Manning|Bruno Sánchez-Andrade Nuño,Javelin Venture Partners|AENU|Clocktower Ventures|Coalition Operators|MCJ|Overture|Ridgeline|Space Capital|John Hanke|Karim Atiyeh|Suzanne DiBianca,AI|Machine Learning,,,,computer vision,data analysis,https://lgnd.io/,,https://techcrunch.com/2025/07/10/lgnd-wants-to-make-chatgpt-for-the-earth/,2025-07-11 11:48:26.831700
Arcee.ai,Arcee.ai is a startup focused on leveraging artificial intelligence to enhance various business processes and decision-making.,AI-driven solutions for business optimization.,2025,,,,,AI|Business Optimization,,,,business process optimization,technology,,,https://pitchbook.com/profiles/company/537629-05,2025-07-11 11:48:40.063969
Deep Cogito,Deep Cogito is an AI research startup that has emerged from stealth with a focus on developing open source large language models (LLMs) that are fine-tuned from Meta’s Llama 3.2 and equipped with hybrid reasoning capabilities. The company aims to push the boundaries of AI by enabling models to iteratively refine their reasoning strategies and ultimately develop superintelligence.,An AI research startup focused on developing open source large language models with advanced reasoning capabilities.,2025,,,Drishan Arora,,AI|Machine Learning|Open Source,San Francisco,California,United States,Natural Language Processing,Technology,https://www.deepcogito.com/research/cogito-v1-preview,,https://venturebeat.com/ai/new-open-source-ai-company-deep-cogito-releases-first-models-and-theyre-already-topping-the-charts/,2025-07-11 11:49:04.627448
Vellum.ai,"Vellum.ai focuses on helping companies improve their generative AI prompting, leveraging large language models to enhance business applications.",A startup that enhances generative AI prompting for businesses.,,5000000.0,seed,Akash Sharma|Noa Flaherty|Sidd Seethepalli,Rebel Fund|Eastlink Capital|Pioneer Fund|Y Combinator,AI|Generative AI,,,,NLP,technology,http://vellum.ai/,,https://techcrunch.com/2023/07/11/prompt-engineering-startup-vellum-ai/,2025-07-11 11:49:33.437502
LangChain,"LangChain is an AI infrastructure startup providing tools to build and monitor LLM-powered applications, solving problems related to real-time information access and interaction with databases.",LangChain offers tools for building applications on top of LLM models.,,35000000.0,series-a,Harrison Chase,Benchmark|Sequoia,AI|Machine Learning,,,,NLP,technology,https://langchain.com/,,https://techcrunch.com/2025/07/08/langchain-is-about-to-become-a-unicorn-sources-say/,2025-07-11 11:49:43.625240
Deepnight,Deepnight is a startup focused on developing AI-powered night vision software that aims to disrupt the traditional analog night vision technology used by the military.,Deepnight creates AI-driven solutions for digital night vision technology.,2025,5500000.0,seed,Lucas Young|Thomas Li,,AI|Computer Vision,,,,computer vision,military technology,,,https://techcrunch.com/2025/02/27/yc-grad-deepnight-nabs-5-5m-for-ai-night-vision-software-that-disrupts-a-multi-billion-dollar-industry/,2025-07-11 11:50:05.861046
Exa,"Exa is building a tool that allows AI models to perform web searches with an AI-native twist, focusing on predicting links rather than words.",A startup creating a search engine for AI models that predicts links.,,17000000.0,series-a,Will Bryk,Lightspeed|Nvidia NVentures|Y Combinator,AI|Machine Learning,,,,NLP,technology,https://exa.ai/,,https://techcrunch.com/2024/07/16/exa-raises-17m-lightspeed-nvidia-ycombinator-google-ai-models/,2025-07-11 11:50:26.002711
