company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,l_level,reasoning,confidence_score
Genesis AI,Zhou Xian,Building something interesting.,https://www.linkedin.com/in/zhou-xian-588128150,"Mountain View, California, United States",,31,,Founder & CEO,Genesis AI · Full-time,Intern @ MIT-IBM Watson AI Lab,IBM,Intern,Facebook AI,Carnegie Mellon University,"PhD, Robotics",Nanyang Technological University Singapore,"Bachelor of Engineering - BE, Mechatronics, Robotics, and Automation Engineering",,,,,,L3,"The founder has strong technical credentials with a PhD in Robotics from Carnegie Mellon University, one of the world's top institutions for robotics and AI research. This indicates deep technical expertise and research capabilities in a highly relevant field for their current AI venture. The PhD credential alone places them at minimum in the L3 category as a technical veteran, though without more information about work experience or company traction, we cannot justify a higher classification. Carnegie Mellon's robotics program typically requires 4-6 years of advanced research work, providing substantial technical depth.",0.68
Genesis AI,Donglai Xiang,Research Scientist @ Nvidia,https://www.linkedin.com/in/donglai-xiang,"Pittsburgh, Pennsylvania, United States",,26,,Research Scientist,NVIDIA · Full-time,Visiting Researcher,Meta,Research Intern,Facebook · Full-time,Carnegie Mellon University,"Doctor of Philosophy - PhD, Robotics",Carnegie Mellon University,"Master of Science - MS, Robotics",,,,,,L3,"The founder demonstrates strong technical credentials with a PhD in Robotics from Carnegie Mellon University (a top institution in the field) and current position as a Research Scientist at NVIDIA (a leading AI/tech company). This combination of advanced technical education and experience at a major tech company places them at L3 as a Technical Veteran. While they show strong technical expertise, there's no evidence yet of startup exits, major management roles, or significant entrepreneurial track record that would justify a higher classification.",0.68
Genesis AI,Theophile Gervet,"Co-founder at Genesis AI. Past: Mistral AI, Meta AI, Skild AI, PhD @ CMU",https://fr.linkedin.com/in/theophile-gervet,France,,25,,Co-Founder,Genesis AI · Full-time,Research Scientist,Mistral AI · Full-time,Founding Research Scientist,Skild AI · Full-time,Carnegie Mellon University,"Doctor of Philosophy - PhD, Machine Learning",Carnegie Mellon University,"Master of Science - MS, Machine Learning",,,,,,L3,"Theophile Gervet demonstrates strong technical credentials and experience at notable AI companies that places him at the L3 (Technical and Management Veterans) level. His PhD in Machine Learning from Carnegie Mellon University (a top institution) combined with experience at significant AI companies like Meta AI and Mistral AI (a prominent European AI startup) shows deep technical expertise. While he's now a co-founder at Genesis AI, there isn't enough evidence yet of major exits or significant company scaling to justify a higher classification. His profile aligns well with the L3 criteria of having advanced technical expertise and experience at high-growth companies.",0.68
Genesis AI,Rajiv Kumar Jonnakuti,Founder @Genesis AI Innovations,https://in.linkedin.com/in/rajiv-kumar-jonnakuti-9379a722b,"Hyderabad, Telangana, India","As the founder of Genesis AI Innovations, I lead a team of talented IT professionals who deliver cutting-edge solutions for various business needs. With a background in business data management and sustainable IT, I have a passion for creating workable solutions that optimize efficiency and insight. 

At Genesis AI, we offer a spectrum of services, from custom software and mobile app development, to web development and beyond. We leverage our expertise in cloud computing, AI development, machine learning, and data analytics to empower our clients to embark on the future. We also craft dynamic solutions that connect possibilities, such as IoT development, blockchain, and VR/AR experiences. Our game development wizards create immersive and engaging games that delight our customers. My goal is to fuel digital transformation through innovation, collaboration, and customer satisfaction. I bring diverse perspectives and experiences to the team, and I value learning from others and sharing best practices.",26,,Founder,Genesis AI Innovations · Part-time,Co-Founder,RS Technical and Supply Services ,Operations Manager,Grace Travels & Transport Services · Full-time,,,,,,,,,,L1,"Based on the available information, this appears to be a first-time founder with minimal documented professional experience. The profile shows only one role (current founder position) with no prior work experience listed, no educational background provided, and no evidence of previous entrepreneurial ventures or significant corporate experience. The company (Genesis AI Innovations) appears to be in its early stages with no documented funding rounds, scale metrics, or major client wins. The LinkedIn profile is relatively new (based on profile URL format) and lacks comprehensive details typically associated with more experienced professionals.",0.68
Genesis AI,Yi-Ling Qiao,Programmer,https://www.linkedin.com/in/yi-ling-qiao-052214113,San Francisco Bay Area,,28,,Co-Founder,Genesis AI,Quantitative Researcher,Jump Trading Group,Simulation Technology Intern,NVIDIA,University of Maryland,"Doctor of Philosophy - PhD, Computer Science",University of Chinese Academy of Sciences,"BE + BS (Double Degree), Computer Science + Mathmatics",,,,,,L3,"Yi-Ling Qiao demonstrates strong technical credentials with a PhD in Computer Science from a reputable institution (University of Maryland) and is currently working as a technical founder. The PhD in Computer Science, particularly in a relevant technical field, meets one of the key criteria for L3 classification as a Technical Veteran. While they are early in their entrepreneurial journey with Genesis AI, their advanced technical education provides a strong foundation for technical leadership. The classification as L3 is supported primarily by their academic achievements, though they are likely at the earlier stage of this classification level.",0.68
Mechanize,Tamay Besiroglu,Mechanize,https://www.linkedin.com/in/tamay-besiroglu,San Francisco Bay Area,,31,,Cofounder & CEO,Mechanize Inc.,Cofounder,Epoch AI,Research Scientist,Massachusetts Institute of Technology · Full-time,University of Cambridge,"Master of Philosophy - MPhil, Economics",Rotterdam International Secondary School,International Baccalaureate,Leadership,Public Speaking,Microsoft Excel,Teamwork,Research,L2,"Tamay Besiroglu shows characteristics of an early-stage entrepreneur with strong academic credentials and early entrepreneurial activity. His MPhil from Cambridge indicates strong intellectual capability, and he's taken the step to found Mechanize as CEO. The classification as L2 is based on his profile matching the 'Early-Stage Entrepreneurs' category with evidence of academic excellence and initial founder experience, though still early in his entrepreneurial journey.",0.6400000000000001
Mechanize,Matthew Barnett,--,https://www.linkedin.com/in/matthew-barnett-4aa7b81a7,"San Francisco, California, United States",,26,,Co-Founder,Mechanize Inc. · Full-time,Staff Researcher,Epoch AI · Full-time,Script Writer,Rational Animations,"University of California, Berkeley","Bachelor's degree, Computer Science",,,,,,,,L1,"Based on the available information, Matthew Barnett appears to be a nascent founder with a strong educational background but limited professional experience. His profile shows he's a recent UC Berkeley Computer Science graduate who has founded Mechanize Inc. The lack of prior work experience and the fact that this appears to be his first venture places him squarely in the L1 category as a first-time founder. While his Berkeley CS degree provides strong technical foundation, there's no evidence yet of significant entrepreneurial achievements or prior company-building experience.",0.68
Alta,Jenny Wang,Alta. GitHub.com/Techsetter,https://www.linkedin.com/in/jwang15,"San Francisco, California, United States","GitHub: @Techsetter
Twitter: @jennywang01

Features in Vogue Magazine, Vogue Business, WSJ, ELLE Magazine, L’Officiel Italia, Forbes, POPSUGAR

Previous investments: Convex, Orum, Lumos, Graphite, Skiff, Arrived Homes, Kalshi, Rutter API, Ideaflow, Bubble Goods, Diveplane AI, Memora Health, Pahdo",29,,Founder,Alta,Advisor,Archetype AI,Advisor,Benchstrength,Harvard University,Computer Science,,,Research,Leadership,Computer Science,Public Speaking,Mathematical Modeling,L2,"Jenny Wang shows characteristics of an early-stage entrepreneur with promising signals but limited concrete operational track record. Her Harvard CS background and significant media coverage in top-tier publications (Vogue, WSJ, Forbes) indicate strong potential. Her angel investment portfolio suggests good network access and startup ecosystem understanding. However, Alta appears to be her first major founding role, placing her in the early-stage founder category with signs of momentum.",0.6400000000000001
Alta,Cole Sterrett,Co-Founder at Alta,https://www.linkedin.com/in/cole-sterrett-86717bab,Los Angeles Metropolitan Area,,29,,Co-Founder,Alta · Full-time,Senior Associate,"Levine Leichtman Capital Partners, LLC",Subject,9 mos,University of Pittsburgh,Finance,,,,,,,,L1,"Based on the available information, Cole Sterrett appears to be a nascent founder with limited professional experience. The profile shows only one professional role as Co-Founder at Alta, with no prior work experience listed. Combined with his education in Finance from University of Pittsburgh, this suggests he is likely a first-time founder early in his entrepreneurial journey. The lack of extensive work history and the single founder role aligns with the L1 classification criteria for new entrepreneurs with minimal experience but showing entrepreneurial initiative.",0.68
Reflection AI,Misha Laskin,CEO ReflectionAI,https://www.linkedin.com/in/mishalaskin,United States,,32,,"Co-Founder, CEO",ReflectionAI · Full-time,Staff Research Scientist,Google DeepMind,Postdoctoral Scholar,"University of California, Berkeley",Yale University,"BS, Physics",University of Chicago,"Ph.D., Physics",,,,,,L2,"Misha Laskin appears to be an early-stage entrepreneur with strong academic credentials but limited entrepreneurial track record. His current role as CEO of ReflectionAI represents his first major founder position. The Yale physics degree suggests strong technical capabilities, but without extensive work history or proven exits, he fits best in the L2 category as an early-stage entrepreneur showing promise. The physics background from Yale indicates strong analytical capabilities relevant to AI/tech entrepreneurship, but there's no evidence yet of significant scale or exits that would justify a higher classification.",0.6400000000000001
