name,description,short_description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,ai_focus,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date
GenesisAI,GenesisAI is an Artificial Intelligence marketplace that allows companies to buy or sell AI products and services at scale.,Genesis AI develops AI models for robots using synthetic data.,2021.0,55055000.0,series_a,Zhou Xian|Théophile Gervet|Archil Cheishvili,Netcapital|Cfv Ventures|Startfast Ventures|Queen City Fintech|Equity Crowdfunding,AI|Robotics,,,,"Genesis AI focuses on developing a foundational model that enables robots to automate a variety of repetitive tasks, leveraging synthetic data generated from a proprietary physics engine to enhance learning and performance.",ai_robotics,https://www.genesisai.io/,https://www.linkedin.com/company/genesisai/,https://www.crunchbase.com/organization/genesisai,https://techcrunch.com/2025/07/01/genesis-ai-launches-with-105m-seed-funding-from-eclipse-khosla-to-build-ai-models-for-robots/,2025-07-14 08:28:32.879931
EdgeRunner AI,EdgeRunner AI is a technology company.,Generative AI platform for defense and regulated enterprises.,2024.0,11500000.0,series_a,Colton Malkerson|Tyler Saltsman,Alumni Ventures|Madrona|Four Rivers Group|Hp Tech Ventures,AI|Business/Productivity Software,Seattle,WA,USA,"EdgeRunner AI specializes in developing generative AI platforms tailored for the defense community and regulated enterprises, focusing on on-device AI agents that prioritize data privacy and security while enhancing operational efficiency.",ai_defense,https://www.edgerunnerai.com/,https://www.linkedin.com/company/edgerunner-ai,https://www.crunchbase.com/organization/edgerunner-ai,https://pitchbook.com/profiles/company/608962-15,2025-07-14 08:28:46.525966
Exa,Exa is an AI research center that is reinventing the quest for AI.,A startup creating a search engine specifically for AI models.,2021,19500000.0,series_a,Will Bryk|Jeffrey Wang,Y Combinator|Lightspeed Venture Partners|Nventures|Mei Z.,AI|Machine Learning,,,,"Exa is focused on enhancing web search capabilities through AI by predicting links instead of relying solely on keyword searches, which is a novel approach in natural language processing.",ai_nlp,https://exa.ai,https://www.linkedin.com/company/exa-ai/,https://www.crunchbase.com/organization/exa-1b30,https://techcrunch.com/2024/07/16/exa-raises-17m-lightspeed-nvidia-ycombinator-google-ai-models/,2025-07-14 08:28:53.676987
Alta,Alta leverages data and AI to drive business growth 24/7.,Alta is an AI-driven personal styling agent that helps users choose outfits.,2023.5,9000000.0,seed,Jenny Wang|Mor Shabtai|Stav Neumark|Tom Hoffen,Entrée Capital|Target Global|Ben Lang,AI|Fashion Tech,,,,"Alta utilizes computer vision to analyze user preferences and provide personalized outfit recommendations based on various factors such as budget, lifestyle, weather, and calendar events. The application of AI allows users to visualize how outfits will look on them through virtual avatars.",ai_fashion,https://www.altahq.com/,https://www.linkedin.com/company/altahqdotcom/about/,https://www.crunchbase.com/organization/alta-eab5,https://techcrunch.com/2025/06/16/alta-raises-11m-to-bring-clueless-fashion-tech-to-life-with-all-star-investors/?utm_source=chatgpt.com,2025-07-14 08:29:01.572626
Reflection.Ai,"Reflection.Ai is a start-up that develops artificial intelligence solutions, with a focus on computer vision.",A startup focused on creating AI agents for automating knowledge work.,2024.0,115000000.0,series_a,Misha Laskin|Ioannis Antonoglou,Sequoia Capital|Lightspeed Venture Partners|Sv Angel|Crv|Nventures,AI|Machine Learning,,,,"Reflection AI is focused on developing general AI agents that can automate various knowledge work tasks performed on computers, enhancing productivity and efficiency.",ai_general,https://www.reflection.ai,https://www.linkedin.com/company/reflection-ai,https://www.crunchbase.com/organization/reflection-ai,https://www.businessinsider.com/sequoia-invests-reflection-ai-startup-vc-2024-8,2025-07-14 08:29:36.441011
Palona AI,Palona AI offers a range of artificial intelligence technologies that boost D2C growth.,Palona AI develops AI technologies for direct-to-consumer growth.,2024,10000000.0,seed,Maria Zhang,Fusion Fund|Uphonest Capital|Neo Investment Partners|Maynard Webb,AI,Palo Alto,California,United States,"Palona AI specializes in providing a variety of artificial intelligence technologies aimed at enhancing direct-to-consumer (D2C) business growth, focusing on general AI applications that can be utilized across different industries.",ai_general,https://palona.ai/,https://www.linkedin.com/company/proactive-ai-lab/about/,https://www.crunchbase.com/organization/palona-ai,https://www.crunchbase.com/organization/palona-ai,2025-07-14 08:29:44.838869
Goodfire,AI interpretability research company,Goodfire aims to enhance the transparency of generative AI models through innovative interpretability tools.,2024.0,32000000.0,series_a,Eric Ho|Dan Balsam|Tom Mcgrath,Anthropic|Menlo Ventures|South Park Commons|Lightspeed Venture Partners|B Capital,AI|Machine Learning,,,,"Goodfire is focused on enhancing the understanding and manipulation of generative AI models through tools that improve mechanistic interpretability, allowing users to observe and edit model behavior effectively.",ai_tools,https://goodfire.ai/,https://www.linkedin.com/company/goodfire-ai/,https://www.crunchbase.com/organization/goodfire-b4cb,https://venturebeat.com/ai/goodfire-raises-7m-for-its-brain-surgery-like-ai-observability-platform/,2025-07-14 08:30:05.260664
Physical Intelligence,Physical Intelligence is an AI company developing machine learning for robots and other physical devices.,An AI startup focused on developing algorithms for robotics.,2024.0,435000000.0,series_a,Adnan Esmail|Brian Ichter|Karol Hausman|Lachy Groom|Quan Vuong,Openai|Khosla Ventures|Sequoia Capital|Bond|Thrive Capital,AI|Robotics,,,,"Physical Intelligence focuses on developing AI models and algorithms that enable robots to perform tasks in real-world environments, enhancing their adaptability and functionality.",ai_robotics,https://physicalintelligence.company,https://www.linkedin.com/company/physical-intelligence,https://www.crunchbase.com/organization/physical-intelligence-834b,https://www.inc.com/brian-contreras/this-robotics-ai-brain-startup-just-raised-400-million-from-jeff-bezos-openai-and-others/90998896,2025-07-14 08:30:14.467275
Haize Labs,Haize Labs creates artificial intelligence-based development tools that automate massive language model stress testing at scale.,Haize Labs builds algorithms to test vulnerabilities in AI systems.,2023,,seed,Leonard Tang|Steve Li,General Catalyst|Pear Vc|Stage 2 Capital|Sara Du|Beyond Capital,AI Safety|Generative AI,,,,"Haize Labs is focused on developing automated solutions to identify and test vulnerabilities in generative AI systems, particularly large language models and AI agents, which is critical for ensuring the security and reliability of AI applications.",ai_security,https://haizelabs.com,https://www.linkedin.com/company/haizelabs,https://www.crunchbase.com/organization/haize-labs,https://www.businessinsider.com/vc-clamor-invest-ai-safety-startup-haize-labs-2024-6?utm_campaign=tech-sf&utm_source=twitter&utm_medium=social,2025-07-14 08:30:24.868661
Aragon.ai,Aragon.ai is an AI photography company,AI photography company specializing in generating headshots.,2023.0,,pre_seed,Akhil Na|Wesley Tian,Neo,AI|Photography,San Francisco,California,United States,"Aragon.ai utilizes computer vision techniques to generate high-quality headshots using artificial intelligence, enabling users to obtain professional images quickly and affordably.",ai_photography,https://aragon.ai/,https://www.linkedin.com/company/aragonai/,https://www.crunchbase.com/organization/aragon-ai,https://www.crunchbase.com/organization/aragon-ai,2025-07-14 08:30:48.218693
