name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Vicarious,Vicarious is an artificial intelligence firm that uses the computational principles of the brain to develop general intelligence.,2010,81000000.0,series_unknown,D. Scott Phoenix|Dileep George|Scott Phoenix,Khosla Ventures|Founders Fund|Y Combinator|Felicis|Promus Ventures,AI|Machine Learning,San Francisco,California,United States,"""AI-Driven Human-Computer Interaction Solutions""",https://www.vicarious.com/,https://www.linkedin.com/company/vicarious-ai/about/,https://www.crunchbase.com/organization/vicarious-systems-inc,https://techcrunch.com/2014/03/22/vicarious-grabs-a-huge-new-40m-growth-round-to-advance-artificial-intelligence/,2025-07-23 05:27:18.188430,0.5,30.0,3.5,15,growth,0.85,3.8,3.2,0.3,3.7
Clarifai,"Clarifai's platform supports the full AI development lifecycle; including dataset preparation, model training and deployment.",2013,100000000.0,series_c,Matthew Zeiler|Rob Fergus,Menlo Ventures|New Enterprise Associates|Union Square Ventures|Lux Capital|Corazon Capital,AI|Deep Learning|Computer Vision,,,,"""AI-Driven Visual Search and Recognition Solutions""",https://clarifai.com/,https://www.linkedin.com/company/clarifai,https://www.crunchbase.com/organization/clarifai,https://www.wired.com/2014/07/clarifai/,2025-07-23 05:27:28.434067,0.5,20.0,4.5,10,growth,0.85,4.2,4.0,0.5,4.2
Scaled Inference,Scaled Inference is a Artificial Intelligence Software Company.,2014,8900000.0,series_a,Olcan Sercinoglu|Dmitry Lepikhin,Khosla Ventures|Sv Angel|Lux Capital|Felicis|Tencent,AI|Machine Learning,,,,"""Cloud-Based Machine Learning and AI Solutions""",https://scaledinference.com/,https://www.linkedin.com/company/scaled-inference,https://www.crunchbase.com/organization/scaled-inference,https://techcrunch.com/2014/07/29/scaled-inference-2/,2025-07-23 05:27:37.663893,1.0,35.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
Wise.io,Wise.io is a machine learning application that helps businesses find patterns and trends in their vast data stores.,2012,2614554.0,series_a,Joshua Bloom|Damian Eads|Dan Starr|Henrik Brink|Joseph Richards,Alchemist Accelerator|Voyager Capital|Ravi Belani|Citrix Startup Accelerator,Machine Learning|AI,Berkeley,California,United States,"""Scalable Machine Learning Solutions for Complex Problem Solving""",http://wise.io,http://www.linkedin.com/company/wise-io,https://www.crunchbase.com/organization/wise-io,https://techcrunch.com/2013/05/30/wise-io-makes-its-debut-with-a-machine-learning-service-that-offers-as-a-service-what-google-builds-for-itself/,2025-07-23 05:28:04.726067,0.3,40.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
Osaro,Osaro is an artificial intelligence company developing products based on proprietary deep reinforcement learning technology.,2015,49800000.0,series_c,Derik Pridmore|Michael Kahane,Founders Fund|Bossa Invest|Abstract|Alpha Intelligence Capital|Aaf Management Ltd.,AI|Machine Learning|Robotics,San Francisco,California,United States,"""Deep Reinforcement Learning for Robotics Automation""",http://www.osaro.com,https://www.linkedin.com/company/osaro,https://www.crunchbase.com/organization/osaro,https://techcrunch.com/2015/12/02/advanced-machine-learning-company-osaro-captures-3-3-million/,2025-07-23 05:28:13.684847,0.3,20.0,3.5,10,growth,0.85,3.8,3.5,0.5,3.7
SymphonyAI Sensa,Empowering financial institutions with future-proof financial crime detection.,2008,68474491.0,series_c,Gunnar Carlsson|Gurjeet Singh|Harlan Sexton,Khosla Ventures|Ivp|Kleiner Perkins|Floodgate|137 Ventures,Big Data|Machine Learning,Palo Alto,California,United States,"""Enterprise Machine Learning Data Analytics Solutions""",http://www.symphonysensa.com,http://www.linkedin.com/company/symphonysensa,https://www.crunchbase.com/organization/ayasdi,https://techcrunch.com/2013/07/16/ayasdi-lands-30-6m-to-help-g-e-citi-the-u-s-government-and-more-find-needles-in-big-datas-haystack/,2025-07-23 05:28:25.151217,1.5,25.0,4.0,15,growth,0.85,4.2,3.8,0.5,3.8
Collective Intelligence,Collective Intelligence Incorporated is a leading systems integrator and solutions provider delivering to both private.,1999,,,Chuck Russell,,AI|Machine Learning|Cloud Computing|Big Data,Silicon Valley,California,United States,"""Explainable AI for Computer Vision and Robotics""",http://www.collectiveintelligence.com/,http://www.linkedin.com/company/447874,https://www.crunchbase.com/organization/collective-intelligence,https://angel.co/company/collective-intelligence-technologies,2025-07-23 05:29:26.035454,0.1,30.0,2.5,5,unknown,0.85,2.0,1.5,0.05,2.0
Harvest Automation,Harvest Automation is a material handling company that provides robots to resolve manual labor problems across multiple industries.,2008,29283658.0,series_unknown,John Kawola|Charles Grinnell|Joe Jones,Founder Collective|Eqt Life Sciences|Svg Ventures|Entrée Capital|Sandbox Industries,Robotics|Agriculture,Billerica,Massachusetts,United States,"""Robotic Systems for Agricultural Automation Solutions""",https://www.public.harvestai.com,https://www.linkedin.com/company/harvest-automation-inc.,https://www.crunchbase.com/organization/harvest-automation,https://www.boston.com/news/untagged/2013/10/29/agricultural-robot-firm-harvest-automation-raises-11-75m-in-series-c-financing/,2025-07-23 05:30:03.728271,0.3,15.0,3.5,10,unknown,0.85,3.0,2.5,0.15,2.8
23andMe,"23andMe is a DNA testing technology company that enables its users to access their ancestry, genealogy, and inherited traits.",2006,1118573609.0,post_ipo_equity,Anne Wojcicki|Linda Avey|Paul Cusenza,Sequoia Capital|Google|New Enterprise Associates|Newview Capital|Illumina Ventures,Biotechnology|Health,Mountain View,California,United States,"""Personal Genomics and Genetic Health Insights""",http://23andme.com,https://www.linkedin.com/company/23andme,https://www.crunchbase.com/organization/23andme,https://www.siliconvalley.com/2013/09/18/google-spins-off-calico-a-new-company-to-focus-on-health/,2025-07-23 05:30:14.566470,0.2,15.0,3.5,5,unknown,0.85,3.0,2.5,0.1,3.0
Tempo AI,Tempo AI is a developer of a smart calendar application used to enhance work activities and schedules.,2014,11250000.0,series_a,Corey Hulen|Raj Singh,Mayfield Fund|Sierra Ventures|Golden Ventures|Eniac Ventures|Relay Ventures,AI|Productivity|Calendar,,,,"""AI-Driven Productivity and Smart Calendar Solutions""",http://tempo.ai,http://www.linkedin.com/company/2504844,https://www.crunchbase.com/organization/tempo-ai-sri-spin-off-m,https://venturebeat.com/entrepreneur/tempo-ai-secures-10m-to-advance-its-productivity-artificial-intelligence-tech/,2025-07-23 05:30:30.499570,1.2,20.0,3.8,15,growth,0.85,3.9,3.5,0.5,3.7
Artificial.Agency,Artificial Agency is an AI firm that is pioneering generative behavior in gaming.,2023,16078544.0,seed,Brian Tanner|Alex Kearney|Andrew Butcher|Michael Johanson,Radical Ventures|Toyota Ventures|Bdc Venture Capital|Kaya|Tirta Ventures,AI|Gaming|Behavioral AI,Edmonton,Alberta,Canada,"""AI-Enhanced Non-Playable Character Interaction Solutions""",https://www.artificial.agency,https://www.linkedin.com/company/artificialagency,https://www.crunchbase.com/organization/artificial-agency,https://techcrunch.com/2024/07/18/artificial-agency-raises-video-game-npcs-ai/,2025-07-23 05:31:10.534535,0.3,20.0,4.0,10,growth,0.85,4.2,3.8,0.5,3.8
Exa,Exa builds a language,2021,9500000.0,seed,Will Bryk,,AI|Machine Learning,,,,"""AI-Driven Search Algorithms for Web Intelligence""",https://www.exa.org,,https://www.crunchbase.com/organization/exa-labs,https://techcrunch.com/2024/07/16/exa-raises-17m-lightspeed-nvidia-ycombinator-google-ai-models/,2025-07-23 05:31:30.011691,1.2,28.0,4.5,15,growth,0.85,4.3,3.8,0.9,4.2
Abridge,Abridge is an AI-driven platform that transforms patient-clinician conversations into structured clinical notes for healthcare industries.,2018,485000000.0,series_e,Florian Metze|Sandeep Konam|Shivdev Rao,Andreessen Horowitz|Khosla Ventures|Bessemer Venture Partners|Lightspeed Venture Partners|Ivp,AI|Healthcare|NLP,,,,"""AI-Driven Healthcare Communication and Documentation Solutions""",https://www.abridge.com,https://www.linkedin.com/company/abridgehq,https://www.crunchbase.com/organization/abridge-d1a4,https://www.businessinsider.com/ai-startups-most-promising-2024-9,2025-07-23 05:31:42.950687,1.2,10.5,3.5,15,unknown,0.85,3.8,3.2,0.5,3.7
Physical Intelligence,Physical Intelligence is an AI company developing machine learning for robots and other physical devices.,2024,270000000.0,series_a,Adnan Esmail|Brian Ichter|Karol Hausman|Lachy Groom|Quan Vuong,Openai|Khosla Ventures|Sequoia Capital|Bond|Thrive Capital,AI|Robotics,,,,"""General-Purpose AI for Robotics Applications""",https://physicalintelligence.company,https://www.linkedin.com/company/physical-intelligence,https://www.crunchbase.com/organization/physical-intelligence-834b,https://www.inc.com/brian-contreras/this-robotics-ai-brain-startup-just-raised-400-million-from-jeff-bezos-openai-and-others/90998896,2025-07-23 05:31:52.351029,1.2,20.0,4.5,15,growth,0.85,4.7,4.3,0.8,4.2
Thinking Machines Lab,Thinking Machines Lab is an AI research and product company that aims to increase understanding and customization of AI systems.,2025,2004987582.0,seed,Mira Murati|Lilian Weng,Andreessen Horowitz|Accel|Nvidia|Conviction Partners|Cisco,Artificial Intelligence|Machine Learning,,,,"""General Artificial Intelligence Systems Development""",https://thinkingmachines.ai,https://www.linkedin.com/company/thinkingmachinesai,https://www.crunchbase.com/organization/thinking-machines-lab,https://www.reuters.com/technology/mira-muratis-ai-startup-thinking-machines-raises-2-billion-a16z-led-round-2025-07-15/,2025-07-23 05:32:04.124407,30.0,35.0,5.0,50,unknown,0.85,4.8,4.5,10.0,5.0
Sense,Sense specializes in tracking devices and home automation solutions for its customers.,2013,92949999.0,series_c,Tristan Zajonc|Christopher Micali|Mike Phillips|Ryan Houlette,Se Ventures|Energy Impact Partners|Crv|Blue Earth Capital|Bolt,Analytics|Big Data|Predictive Analytics|PaaS,San Francisco,California,United States,"""Big Data Analytics and Data Science Platform""",https://sense.com/,https://www.linkedin.com/company/sense/,https://www.crunchbase.com/organization/sense,https://angel.co/company/sense,2025-07-23 05:32:18.719165,3.2,18.0,3.8,15,growth,0.85,3.9,3.5,0.8,3.7
Daimon Labs,"By leveraging bleeding edge research, we’re crafting AI companions that evolve users, learning and growing to provide a lifetime connection.",2022,1500000.0,pre_seed,Ryan Benmalek|Xiang Zhang|Dhruv Malik,Zero Prime Ventures,AI|NLP|Chatbots,New York,New York,USA,"""Generative AI Companionship Chatbot Solutions""",https://www.daimon.chat/,https://www.linkedin.com/company/daimon-labs/,https://www.crunchbase.com/organization/daimon-labs,https://www.axios.com/pro/media-deals/2023/03/22/daimon-labs-funding-chatbot,2025-07-23 05:32:34.740226,0.1,35.0,3.5,10,growth,0.85,3.8,3.5,0.3,3.7
Wide Eyes,Wide Eyes delivers specific visual search technology that can recognize automatically any kind of fashion article from an image.,2013,1150000.0,seed,Long Long Yu|Luis Manent|Miguel Pousa|Rodolfo Guichon,K Fund|Acurio Ventures|Desafia,AI|computer vision,Barcelona,,Spain,"""AI-Driven Visual Search and Image Recognition Solutions""",https://wideeyes.ai,http://www.linkedin.com/company/wide-eyes-technologies,https://www.crunchbase.com/organization/wide-eyes-technologies,https://www.axios.com/pro/retail-deals/2023/07/11/retail-tech-startup-stylitics-acquires-wide-eyes,2025-07-23 05:32:45.483248,0.5,25.0,4.0,10,growth,0.85,3.5,3.8,0.3,3.5
Runway,Runway is a global AI research and technology company building foundational research models and tools to create multimodal world simulators.,2018,544500000.0,series_d,Cristóbal Valenzuela|Alejandro Matamala Ortiz|Anastasis Germanidis|Cristobal Valenzuela Barrera,General Atlantic|Nvidia|Google|Coatue|Lux Capital,AI|Video Generation,,,,"""Generative AI Video Creation Technology""",https://runwayml.com,https://www.linkedin.com/company/runwayml,https://www.crunchbase.com/organization/runwayml,https://www.axios.com/2023/12/04/runway-getty-images-ai-video,2025-07-23 05:32:56.415183,0.3,35.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.0
System,System Inc. is a Public Benefit Corporation that builds software to help the world see and solve anything as a system.,1977,12250000.0,series_a,Adam Bly,Lux Capital|True Ventures|Acrew Capital|Valia Ventures,AI|Data,,,,"""NLP-Driven Data Solutions for Industry Innovation""",http://www.system.com/,https://www.linkedin.com/company/system,https://www.crunchbase.com/organization/system,https://www.theinformation.com/articles/this-is-the-help-congress-needs-to-regulate-ai,2025-07-23 05:33:09.195231,0.5,30.0,3.5,10,growth,0.85,3.0,2.5,0.1,3.0
Playground AI,Playground AI allows users to create any image from their imagination using AI.,2022,,series_unknown,,Y Combinator,AI|Image Generation,,,,"""AI-Driven Image Generation and Manipulation Platform""",https://playgroundai.com,,https://www.crunchbase.com/organization/playground-ai-bc3c,https://www.boston.com/news/the-boston-globe/2023/07/21/mit-student-ai-racial-blind-spots/,2025-07-23 05:33:21.520501,0.3,35.0,4.5,15,early,0.85,4.7,4.3,0.8,4.2
Suno,Suno is a music start-up that enables anyone to make the songs they want.,2022,125000000.0,series_b,Mikey Shulman|Georg Kucsko|Keenan Freyberg|Martin Camacho,Lightspeed Venture Partners|Founder Collective|Matrix|Daniel Gross|Scott Belsky,AI|Music Technology,Cambridge,Massachusetts,United States,"""AI-Driven Music Composition and Generation Technology""",https://www.suno.com,https://www.linkedin.com/company/suno-ai,https://www.crunchbase.com/organization/suno-279f,https://www.boston.com/culture/entertainment/2024/06/25/music-record-labels-sue-ai-song-generators-suno-udio-copyright-infringement/,2025-07-23 05:33:39.330867,0.3,20.0,3.5,10,growth,0.85,3.8,3.5,0.5,3.7
People Pattern,People Pattern provides audience insights to companies by using data science to turn public expression into actionable persona sets.,2012,4500000.0,series_a,Ken Cho|Jason Baldridge,Mohr Davidow Ventures|Texas Venture Labs,AI|data science|marketing technology,Austin,Texas,United States,"""AI-Driven Social Media Analytics for Sales Insights""",http://peoplepattern.com,http://www.linkedin.com/company/3155184,https://www.crunchbase.com/organization/people-pattern,https://venturebeat.com/entrepreneur/people-patterns-raises-4-5m-to-reveal-much-more-about-your-sales-leads/,2025-07-23 05:33:55.092202,1.2,25.0,3.8,15,growth,0.85,3.5,3.0,0.8,3.5
CognitiveScale,CognitiveScale is a enterprise AI Platform.,2013,27500000.0,series_b,Akshay Sabhikhi|Matt Sanchez,Norwest Venture Partners|Ibm|The Westly Group|Intel Capital|M12   Microsoft'S Venture Fund,AI|Machine Learning,Austin,Texas,United States,"""Augmented Intelligence Solutions for Healthcare and Finance""",http://www.cognitivescale.com,https://www.linkedin.com/company/cognitivescale,https://www.crunchbase.com/organization/cognitivescale,https://venturebeat.com/entrepreneur/intel-and-microsoft-join-15-million-investment-into-cognitivescale/,2025-07-23 05:34:04.360052,1.2,35.0,4.5,15,early,0.85,4.0,3.5,0.5,4.0
Dosh,"Dosh is a free cash back app that finds users money for shopping, dining out, and pumping gas at thousands of merchants & brands nationwide.",2016,46050000.0,series_b,Ryan Wuerch|Michael Lohner,Goodwater Capital|Next Coast Ventures|Paypal Ventures|Troy Capital Partners|Western Technology Investment,fintech|consumer savings,Austin,Texas,USA,"""Cashback Rewards Mobile Application Platform""",https://www.dosh.com,https://www.linkedin.com/company/doshapp,https://www.crunchbase.com/organization/dosh,https://venturebeat.com/entrepreneur/austin-startups-raised-over-100-million-in-june/,2025-07-23 05:34:16.136982,4.5,15.0,4.0,15,unknown,0.85,4.2,3.8,0.8,3.8
Atlas Wearables,Atlas Wearables is a fitness-technology company that designs products to enrich the fitness experience both in and out of the gym.,2013,2574509.5,series_unknown,Mike Kasparian|Peter Li,Techstars|Right Side Capital Management|Seedinvest|Iqt|Jrg Capital Partners,Wearable Technology|Fitness|Health,,,,"""Wearable Fitness Technology and Motion Analysis Solutions""",http://www.atlaswearables.com,http://www.linkedin.com/company/3305504,https://www.crunchbase.com/organization/atlas,https://venturebeat.com/entrepreneur/atlas-raises-1-1m-to-power-its-motion-genome-project-a-motion-database-for-wearables/,2025-07-23 05:34:26.196671,1.1,20.0,3.8,15,growth,0.85,3.5,3.0,0.5,3.7
Civitas Learning,Civitas Learning is the student success platform for higher education.,2011,36349999.5,private_equity,Adam Dell|Charles Thornburgh|Laura Malcolm|Mark Milliron,Emergence Capital|Warburg Pincus|Felicis|Floodgate|Francisco Partners,EdTech|Data Analytics,Austin,Texas,United States,"""Education Analytics for Student Success Optimization""",http://www.civitaslearning.com,https://N/A,https://www.crunchbase.com/organization/civitas-learning,https://venturebeat.com/business/why-do-students-drop-out-civitas-learning-gets-8-75m-to-bring-big-data-to-higher-ed/,2025-07-23 05:34:39.604629,0.5,18.0,3.8,10,growth,0.85,3.5,2.8,0.3,3.5
