Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Rigetti Computing,"Rigetti Computing is a full-stack quantum computing company. It designs and manufactures quantum-integrated circuits. It packages and deploys those chips in a low-temperature environment, and they build control systems to perform quantum logic operations on them. The company develops software to integrate its systems directly into existing cloud infrastructure. It has also developed new algorithms for quantum computing, with a focus on near-term applications in computational chemistry and machine learning. Our product, Forest, is the world’s first full-stack programming and execution environment for quantum/classical computing.",2013,748450000.0,14,2025-06-11,350000000.0,Berkeley,California,United States,Andreessen Horowitz|Bessemer Venture Partners|Alumni Ventures|Palantir Technologies|Ampere Computing,Chad Rigetti|Spencer Rascoff,175,"""Quantum Computing Hardware and Software Solutions""",http://www.rigetti.com/,https://www.linkedin.com/company/rigetti-computing,0.1,30.0,2.5,10,unknown,0.85,3.5,2.5,0.2,2.8
Pendo,"Pendo is a platform that helps product managers and teams better understand how their users engage with their software products. Pendo's product experience platform enables businesses to quickly and efficiently turn product knowledge into actionable insights, ushering in a new era of businesses that prioritize products. Pendo's customers include global leaders such as Verizon, Morgan Stanley, LabCorp, OpenTable, Okta, Salesforce, and Zendesk. Pendo's Mind the Product and customer forums, sponsored events, and podcasts strive to help product and digital leaders around the world succeed. Pendo is based in Raleigh, North Carolina, with offices across the world.",2013,479412849.0,12,2024-08-13,9912849.0,Raleigh,North Carolina,United States,General Atlantic|Thoma Bravo|B Capital|Battery Ventures|Sapphire Ventures,Eric Boduch|Erik Troan|Rahul Jain|Todd Olson,750,"""Product Analytics and User Engagement Software""",http://www.pendo.io/,https://www.linkedin.com/company/pendo-io,14.4,12.5,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Dataiku,"Dataiku is a centralized data platform that moves businesses along their data journey from analytics at scale to enterprise AI. By providing a common ground for data experts and explorers, a repository of best practices, shortcuts to machine learning and AI deployment/management, and a centralized, controlled environment, Dataiku serves as a catalyst for data-powered companies. Customers like Unilever, GE, and FOX News Group use Dataiku to ensure they are moving quickly and growing exponentially along with the amount of data they’re collecting. By removing roadblocks, Dataiku ensures more opportunities for business-impacting models and creative solutions, allowing teams to work faster and smarter.",2013,846835229.0,11,2022-12-12,200000000.0,New York,New York,United States,Insight Partners|Wellington Management|Alven|ICONIQ Growth|Battery Ventures,Clément Stenac|Florian Douetteau|Marc Batty|Thomas Cabrol,3000,"""Enterprise AI and Data Analytics Platform""",https://www.dataiku.com/,https://www.linkedin.com/company/dataiku,1.5,30.0,3.5,20,growth,0.85,3.8,3.5,0.5,3.7
Databricks,Databricks provides a unified data analytics platform that enables organizations to process and analyze large datasets. The platform supports collaborative data science and machine learning workflows. Users can build and deploy data pipelines using Apache Spark and other tools. Databricks integrates with various cloud services to facilitate data management and analysis.,2013,20814882333.0,15,2025-01-13,5250000000.0,San Francisco,California,United States,Blue Owl|Andreessen Horowitz|Gaingels|Citi|BlackRock,Ali Ghodsi|Andy Konwinski|Arsalan Tavakoli-Shiraji|Ion Stoica|Patrick Wendell|Reynold Xin,7500,"""Unified Data Analytics and Machine Learning Platform""",https://www.databricks.com/,https://www.linkedin.com/company/databricks,18.6,58.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
Motive,"Motive is a technology company building technology to improve the safety, productivity, sustainability, and profitability of businesses that power the physical economy. Combined with AI, the Motive platform gives you complete visibility and control and significantly reduces manual workloads by automating and simplifying tasks. Motive serves small businesses across a wide range of industries, including transportation and logistics, construction, energy, field service, manufacturing, agriculture, food and beverage, retail, and the public sector. Motive is a fully unified integrated operations platform, combining driver safety, fleet management, equipment monitoring, and spend management all in one place.",2013,567300000.0,10,2023-10-24,,San Francisco,California,United States,BlackRock|Insight Partners|IVP|Index Ventures|Kleiner Perkins,Obaid Khan|Shoaib Makani,3000,"""AI-Driven Fleet Management and Operational Efficiency Solutions""",https://gomotive.com/,https://www.linkedin.com/company/motive-inc/,5.5,10.5,3.5,15,unknown,0.85,4.2,3.8,0.5,3.5
SentinelOne,"SentinelOne provides tools and intelligence to anticipate threats, manage vulnerabilities and protect your cloud, endpoint, and identity resources anywhere in the world. Combined with 24/7/365 threat hunting and managed services, SentinelOne is defining the future of cybersecurity with the Power of AI. The company aims to shape the future of endpoint security with an integrated platform that combines behavioral-based detection, advanced mitigation, and forensics to stop threats in real time. Specializing in attacks that utilize evasion techniques, SentinelOne is a vendor that offers complete protection against malware, exploit, and insider-based attacks. This led Gartner to recognize SentinelOne as a Visionary in their recent Endpoint Protection Magic Quadrant. SentinelOne is also a next-generation endpoint protection company to be independently certified as a true antivirus replacement for Windows, OS X, and Linux, including certification for both HIPAA and PCI. SentinelOne was formed by an elite team of cybersecurity and defense experts from IBM, Intel, Check Point Software Technologies, Cylance, McAfee, and Palo Alto Networks. SentinelOne was named the seventh fastest-growing company in North America in 2019, the fastest-growing in Silicon Valley, and was the only cybersecurity company recognized in the top 10 of the Deloitte Technology Fast 500™. SentinelOne was also the only endpoint protection company on the Forbes AI 50 list, recognizing the 50 most promising companies using AI as a core part of its business model and success.",2013,696520000.0,9,2021-06-30,,Mountain View,California,United States,Vista Equity Partners|Sequoia Capital|Accel|Insight Partners|Redpoint,Almog Cohen|Tomer Weingarten,3000,"""AI-Driven Cybersecurity and Endpoint Protection Solutions""",http://www.sentinelone.com/,https://www.linkedin.com/company/sentinelone,1.2,18.0,3.5,20,growth,0.85,3.8,3.2,0.5,3.7
6sense,"6sense reinvents the way organizations create, manage, and convert pipelines to revenue. 6sense Revenue AI captures anonymous buying signals, targets the right accounts, and recommends the channels and messages to boost revenue performance. Removing guesswork, friction, and wasted sales effort, 6sense empowers sales, marketing, and customer success teams to significantly improve pipeline quality, accelerate sales velocity, increase conversion rates, and grow revenue predictably.",2013,526000000.0,10,2023-06-22,100000000.0,San Francisco,California,United States,Blue Owl|Insight Partners|Venrock|Y Combinator|B Capital,Amanda Kahlow|Premal Shah|Viral Bajaria,3000,"""AI-Driven B2B Revenue Optimization Solutions""",http://www.6sense.com/,https://www.linkedin.com/company/6sense,0.3,35.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Exabeam,"Exabeam is a leader in intelligence and automation that powers security operations for the world’s smartest companies. As a global cybersecurity leader, Exabeam provides industry-proven, security-focused, and flexible solutions for faster, more accurate threat detection, investigation, and response (TDIR). Cutting-edge technology enhances security operations center performance, optimizing workflows and accelerating time to resolution. With consistent leadership in AI innovation and a proven track record in security information and event management (SIEM) and user behavior analytics, Exabeam empowers global security teams to combat cyberthreats, mitigate risk, and streamline operations. Learn more at www.exabeam.com.",2013,391000000.0,8,2021-12-05,1000000.0,Foster City,California,United States,Norwest Venture Partners|Lightspeed Venture Partners|Cisco Investments|Sapphire Ventures|Acrew Capital,Domingo Mihovilovic|Nir Polak|Sylvain Gil,750,"""Cybersecurity Automation and Threat Detection Solutions""",http://www.exabeam.com/,https://www.linkedin.com/company/exabeam,1.5,12.0,3.8,25,unknown,0.85,4.2,3.8,0.5,3.9
Domino Data Lab,"Domino Data Lab empowers data science teams with the leading, open data science platform that enables enterprises to manage and scale data science with discipline and maturity. Model-driven companies including Allstate, Dell Technologies, and Bayer use Domino as a data science system of record to accelerate breakthrough research, increase collaboration, and rapidly deliver high-impact models.",2013,223600000.0,9,2022-06-15,,San Francisco,California,United States,Sequoia Capital|NVIDIA|Slow Ventures|Coatue|Great Hill Partners,Chris Yang|Matthew Granade|Nick Elprin,375,"""Enterprise Data Science and Collaboration Platform""",https://domino.ai/,http://www.linkedin.com/company/domino-data-lab,18.6,58.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
FiscalNote,"FiscalNote uses artificial intelligence and big data to deliver immediate predictive analytics of governmental action to pinpoint impact. FiscalNote's flagship platform provides real-time legislative predictive capabilities as well as enterprise collaboration and visualization tools for data on campaign finance, demographics, news, and open data to government relations professionals to help them make faster decisions.",2013,637332510.0,23,2024-11-27,5500000.0,Washington,District of Columbia,United States,Plug and Play|New Enterprise Associates|645 Ventures|Legendary Ventures|Bossa Invest,Chris Brummer|Gerald Yao|Jonathan Chen|Tim Hwang,375,"""AI-Driven Government Relations Predictive Analytics Platform""",http://www.fiscalnote.com/,http://www.linkedin.com/company/fiscalnote,0.2,15.0,2.5,10,unknown,0.85,3.5,2.8,0.15,2.8
